T p Ionization brems pair photonuc Radloss dE/dx CSDARange delta beta dE/dx_R
1.000E+00 1.457E+01 2.631E+00 0.000E+00 0.000E+00 4.670E-05 4.670E-05 5.263E+00 2.509E-03 0.0011 0.13661 3.772E+01
1.200E+00 1.597E+01 3.282E+01 0.000E+00 0.000E+00 4.678E-05 4.678E-05 3.282E+01 8.210E-03 0.0013 0.14944 3.282E+01
1.400E+00 1.726E+01 2.915E+01 0.000E+00 0.000E+00 4.687E-05 4.687E-05 2.915E+01 1.469E-02 0.0015 0.16119 2.915E+01
1.700E+00 1.903E+01 2.509E+01 0.000E+00 0.000E+00 4.700E-05 4.700E-05 2.509E+01 2.582E-02 0.0018 0.17725 2.509E+01
2.000E+00 2.066E+01 2.211E+01 0.000E+00 0.000E+00 4.713E-05 4.713E-05 2.211E+01 3.858E-02 0.0021 0.19186 2.211E+01
2.500E+00 2.312E+01 1.858E+01 0.000E+00 0.000E+00 4.735E-05 4.735E-05 1.858E+01 6.336E-02 0.0027 0.21376 1.858E+01
3.000E+00 2.536E+01 1.610E+01 0.000E+00 0.000E+00 4.757E-05 4.757E-05 1.610E+01 9.236E-02 0.0032 0.23336 1.590E+01
3.500E+00 2.742E+01 1.427E+01 0.000E+00 0.000E+00 4.779E-05 4.779E-05 1.427E+01 1.254E-01 0.0037 0.25120 1.391E+01
4.000E+00 2.935E+01 1.285E+01 0.000E+00 0.000E+00 4.801E-05 4.801E-05 1.285E+01 1.624E-01 0.0043 0.26763 1.240E+01
4.500E+00 3.116E+01 1.172E+01 0.000E+00 0.000E+00 4.823E-05 4.823E-05 1.172E+01 2.032E-01 0.0048 0.28290 1.121E+01
5.000E+00 3.289E+01 1.080E+01 0.000E+00 0.000E+00 4.845E-05 4.845E-05 1.080E+01 2.477E-01 0.0054 0.29720 1.025E+01
5.500E+00 3.453E+01 1.003E+01 0.000E+00 0.000E+00 4.867E-05 4.867E-05 1.003E+01 2.958E-01 0.0059 0.31066 9.455E+00
6.000E+00 3.611E+01 9.373E+00 0.000E+00 0.000E+00 4.888E-05 4.888E-05 9.373E+00 3.474E-01 0.0065 0.32339 8.787E+00
7.000E+00 3.909E+01 8.325E+00 0.000E+00 0.000E+00 4.932E-05 4.932E-05 8.326E+00 4.609E-01 0.0076 0.34700 7.727E+00
8.000E+00 4.189E+01 7.521E+00 0.000E+00 0.000E+00 4.976E-05 4.976E-05 7.521E+00 5.874E-01 0.0087 0.36854 6.922E+00
9.000E+00 4.453E+01 6.883E+00 0.000E+00 0.000E+00 5.020E-05 5.020E-05 6.883E+00 7.266E-01 0.0098 0.38836 6.289E+00
1.000E+01 4.704E+01 6.363E+00 0.000E+00 0.000E+00 5.064E-05 5.064E-05 6.363E+00 8.779E-01 0.0110 0.40675 5.778E+00
1.200E+01 5.177E+01 5.568E+00 0.000E+00 0.000E+00 5.151E-05 5.151E-05 5.568E+00 1.215E+00 0.0133 0.43998 5.004E+00
1.400E+01 5.616E+01 4.987E+00 0.000E+00 0.000E+00 5.239E-05 5.239E-05 4.987E+00 1.595E+00 0.0156 0.46937 4.445E+00
1.700E+01 6.230E+01 4.360E+00 0.000E+00 0.000E+00 5.370E-05 5.370E-05 4.360E+00 2.241E+00 0.0192 0.50792 3.847E+00
2.000E+01 6.802E+01 3.912E+00 0.000E+00 0.000E+00 5.501E-05 5.501E-05 3.912E+00 2.969E+00 0.0229 0.54129 3.424E+00
2.500E+01 7.686E+01 3.395E+00 0.000E+00 0.000E+00 5.720E-05 5.720E-05 3.396E+00 4.347E+00 0.0293 0.58827 2.941E+00
3.000E+01 8.509E+01 3.047E+00 0.000E+00 0.000E+00 5.939E-05 5.939E-05 3.047E+00 5.905E+00 0.0359 0.62720 2.617E+00
3.500E+01 9.285E+01 2.796E+00 0.000E+00 0.000E+00 6.158E-05 6.158E-05 2.796E+00 7.622E+00 0.0427 0.66011 2.385E+00
